delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
0.32984740542995145,0.6180871698603246,0.8540512190394897,0.10463083836313838,0.0001018591268739934,0.06125923886475965,0.019419265863924066,0.0640047064475144,0.027960807562100554,0.0417465433465741,0.0446527762605504,0.053031224303849225,0.5502479112460269,0.1520377978393997,0.7915696170355724,0.06140325633006218,8.590953060539206e-06,0.05116571071302944,0.002172598333536063,0.03774402732469939,0.06006116076507289,0.06654274187100026,0.05721807746999486,0.00178436533906999
0.8111288712558301,0.16777692762764737,0.47713440513404265,0.29823202672090454,0.0001116881400678532,0.011182597998080003,0.06846310502585089,0.026444019544462752,0.018751544924424945,0.05294428452122083,0.042373451451876834,0.04894542523866733,0.16068412636440582,0.6047868457731566,0.4264307122601088,0.0006515480120117208,0.0002053766873076864,0.04245956307012566,0.006489995628007167,0.005838041977284968,0.06096311271596309,0.030486568911692758,0.021247664875360898,0.03993298355821194
0.9899324177145735,0.009865835803230636,0.7344379243472604,0.10547862938389825,0.0002825209503264638,0.03877079465565744,0.007774238173813953,0.02303820883020258,0.040977268871395675,0.02177470344031822,0.05979767256806893,0.024645180420309838,0.2836233513156815,0.45974037541094015,0.20761801371564567,0.4151319555531347,7.370194276711788e-05,0.04144292118548482,0.03753028590398822,0.02952523817816168,0.008145479017809893,0.05574236230790352,0.03055255722274198,0.047443174175172936
0.34766557694459616,0.39533017639852774,0.5009893770457585,0.2164526388830722,8.429267549927563e-05,0.03783542907055084,0.04149653952270209,0.024201270752139972,0.04802137363675414,0.011461863156780676,0.007544256112384779,0.036848475655321934,0.6334080544660116,0.24217156537516613,0.41211293200255394,0.036822783701927014,0.00024124957697370286,0.03464899657745331,0.021708659574200137,0.05395089505170508,0.019583106759828495,0.006840252015013642,0.051353918975957515,0.0026142335704695784
0.3668767823380991,0.0424030722862316,0.24703602552547105,0.09803220048818234,0.00024145227741961855,0.029945461154602084,0.025062071780773198,0.03861078051103693,0.05842845732713215,0.03162263025262718,0.0454312570211418,0.007887968242908201,0.2204038656575608,0.6968804426676478,0.5560787558123693,0.009126532250712279,0.0001735273901692893,0.06482203389705882,0.02268608611882275,0.016299952554176232,0.0010110017426133108,0.06850929867792362,0.021868190747848435,1.4573329759117947e-05
0.24692278222358993,0.63996628070995,0.6499731180268602,0.3428461994830646,0.00023371740863586425,0.00019449944924850078,0.01416194739312761,0.031641522154521026,0.04043122022853851,0.023873989164586287,0.02723872133213825,0.05978715407909915,0.24474200431545864,0.07530300115422345,0.03250043702018597,0.4203643384588549,0.00011805379862916729,0.02072715424446876,0.0671774212890985,0.03671706009477293,0.039087860748943055,0.06286207568428305,0.029837217949243967,0.01629167004929525
0.2145231161430382,0.17575545783494478,0.4020555947037258,0.04413824842222813,0.00020660968495719514,0.048403817029690044,0.06190682010154733,0.03653053343110286,0.014920075065061041,0.017169510852082036,0.005163302283339513,0.04722260592693995,0.8767867268385169,0.11557622499129888,0.26017856875306034,0.25208025648959503,0.0002678743114886365,0.0494899937108626,0.03944721906026023,0.024220178688882675,0.03278214152519451,0.02991216303296838,0.06863340272123722,0.051472584996011074
0.9400458187731427,0.02305571720264496,0.870921543278943,0.12906471851518403,7.120990891666791e-05,0.03566588977722646,0.04714187912905336,0.004719625732561014,0.006956415992578151,0.03927041909946108,0.008179164003009215,0.041475500066230325,0.1395433276278168,0.45333281519764446,0.5221816324329968,0.09042451514749258,0.0002298489063884931,0.06718879989826555,0.03230528461743156,0.0070433484405475685,0.061731485715687,0.057763511345549946,0.06572423788934997,0.03624256610747884
0.9262673902747643,0.05566797821112248,0.5944298169533486,0.3528301268669723,0.00021799800829098767,0.03129433130312284,0.006673315462779261,0.048889776525053885,0.03667610141140016,0.007449373045169888,0.06740539067324935,0.016296567129229948,0.021045001522313214,0.28812026170087923,0.10941128837391677,0.5285554622509454,0.00028119434706410924,0.060197187420532546,0.011337813453033328,0.030449842272034875,0.04789478581170535,0.04170295356924049,0.05998556325793455,0.0052618815296821605
0.6468149378600891,0.01863168997530324,0.39318066930131884,0.5493807990487338,5.02095954681604e-05,0.03693529413885861,0.0362917986885101,0.002062813422519803,0.05526807546094207,0.04074961180740061,0.02101212529253182,0.04687193465899213,0.9090673081597381,0.03136150409037301,0.7478297400714498,0.030541002713843742,0.000128529289384328,0.003652500568353552,0.05367368349428628,0.0022099662050082246,0.022517847717784745,0.05440383923160274,0.03434918233588512,0.020161214301611968
