delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1,delta_2,gamma_2,eps_2,r_2,x0_infect_2,beta0_2,beta1_2,beta2_2,beta3_2,beta4_2,beta5_2,beta6_2,delta_3,gamma_3,eps_3,r_3,x0_infect_3,beta0_3,beta1_3,beta2_3,beta3_3,beta4_3,beta5_3,beta6_3,delta_4,gamma_4,eps_4,r_4,x0_infect_4,beta0_4,beta1_4,beta2_4,beta3_4,beta4_4,beta5_4,beta6_4,delta_5,gamma_5,eps_5,r_5,x0_infect_5,beta0_5,beta1_5,beta2_5,beta3_5,beta4_5,beta5_5,beta6_5,delta_6,gamma_6,eps_6,r_6,x0_infect_6,beta0_6,beta1_6,beta2_6,beta3_6,beta4_6,beta5_6,beta6_6,delta_7,gamma_7,eps_7,r_7,x0_infect_7,beta0_7,beta1_7,beta2_7,beta3_7,beta4_7,beta5_7,beta6_7
0.7003553379463229,0.037886289259123254,0.900706191865109,0.058694433958806566,7.072877803626584e-05,0.030783207947625492,0.03778781454336463,0.03999085381681532,0.03115117663453775,0.020206317720358354,0.04920465106751235,0.03774394957275765,0.6047786675607426,0.13603229550808388,0.6313244232715596,0.304734917508605,6.68114721645349e-05,0.013505884123324681,0.029840320804619784,0.03916922277579088,0.02251440108401266,0.021636498495137827,0.03588363704753194,0.06177856352210181,0.02555542154590694,0.8107512795466862,0.05507743974366342,0.29390804407508003,0.00013761285934095916,0.06446450369982677,0.048047958191392744,0.04745089078239465,0.0071085974007952515,0.04191298063744152,0.014415005160857945,0.000992017752291855,0.8325407789798923,0.14621361578205194,0.32022798428663574,0.42908080189966935,1.74342599198896e-05,0.06462266694214117,0.02047245241576129,0.027628830953224298,0.03725578915846202,0.06558147832230124,0.015649832508260627,0.06576764519577867,0.4230413275588622,0.11904613305934753,0.54285757015939,0.16036230181184963,3.275036614196042e-05,0.03321508126341208,0.0018269801298778459,0.0182958199005215,0.02292567719918582,0.044798461542675735,0.06324428874181079,0.045182040832648235,0.39328593449647264,0.6042898462512616,0.4561433255459244,0.29012136170149005,7.649046207080392e-05,0.011972642512498041,0.03363345828714268,0.047969514578557255,0.033498558085474535,0.024726503652793178,0.034077068886894074,0.06437734565977611,0.6918473729628482,0.028685436305733017,0.06865582163099057,0.904736579425066,0.00020842693533273978,0.05131095695748362,0.02835926551472333,0.043384768976492856,0.004171854830470703,0.027874569729910606,0.0634638875563698,0.03371198872151919,0.22714168971601525,0.4398574554796907,0.3209613614975969,0.5395652072701123,9.906665302337171e-05,0.027164781670747453,0.053073734696877456,0.024721191232593687,0.0061054689445066476,0.027733329313939955,0.04996081406628986,0.03977812251943779
0.3585335199530126,0.4289003463173123,0.8569533521968199,0.10631993323069752,0.00024378137533386925,0.020059246559688472,0.03994671893046605,0.055824254906000896,0.02172206692411958,0.012867142338580662,0.011014972647156961,0.06278483405873903,0.14670677906412652,0.29971997928522814,0.979490901361152,0.01965631037213041,1.9124052387511794e-05,0.035289072442268005,0.007045933624751426,0.06341644106640523,0.019790972603963758,0.03555429870500009,0.009586298719034991,0.05785561917251908,0.43820331816626695,0.527532039596043,0.5462420522538199,0.2965014002508143,5.399973608615596e-05,0.059907223478834586,0.03974469229601559,0.02057880790903806,0.020488407139294597,0.028975327720015837,0.0023631494019890433,0.011970735825636292,0.1902369808562294,0.6252002303070426,0.8642729714948286,0.019038532383502445,0.0001759594989340182,0.005352440351180845,0.012625859290484986,0.0615511419335451,0.04137989969246821,0.005882544963418556,0.02471559481105697,0.007166287846117072,0.6528636115485745,0.28574696866778715,0.9597012314573904,0.01995972774925294,0.00019017138824253203,0.002637695645477099,0.04926191474550517,0.042721405569925805,0.044969303950577626,0.057962526209925,0.003988242326832277,0.02255632890274988,0.22090858319524856,0.6264368662207407,0.9611277217269344,0.036772693044082864,0.00016532830719070916,0.03771283695651725,0.023811965978956864,0.024155540877830724,0.012957511393378548,0.04286758391836241,0.03960799591376682,0.05379792504542504,0.7706138890451089,0.1377130523387337,0.20714582455456326,0.0977716697916913,0.00018072489465067125,0.039065949398807774,0.013160960320126463,0.019003200611992878,0.02545992714344606,0.04247190188650863,0.01412410280112707,0.010045542828196962,0.9102225184605514,0.038622116506718616,0.2109659123804004,0.3237964230702428,0.00016595427981499187,0.03152338981661533,0.028567176473512687,0.018217441675772807,0.006706586875619976,0.012109238051957632,0.05935613270503785,0.06395081603037832
0.007648905292068719,0.20317260279827487,0.5903460918062857,0.40793660202120896,0.0001397104302986596,0.018262569283474268,0.048699778525129696,0.06621100227300025,0.04795642831984657,0.05276657914927595,0.03908396335435087,0.014053339264922894,0.7452259637128531,0.054491987363063626,0.26700763600388366,0.21235024866099592,0.00017448156929014084,0.03508622946122957,0.02861104344208694,0.06051911821691281,0.025582062079806414,0.010739312933323196,0.025123096487355653,0.05073263306035895,0.824676465779177,0.16895427307984492,0.7605022381636305,0.17693900814081012,0.00019433630589883895,0.02763273513537203,0.022015044601688592,0.05208812150589413,0.03134185660364307,0.050921500285861274,0.05034150441360704,0.035596027121091264,0.3597488175598509,0.13988627782370647,0.35279933377938927,0.5886996754176488,2.137810083209209e-05,0.01869667441018161,0.030298931209419077,0.03794056960711559,0.03244452397738715,0.058217569953327906,0.033759854959180664,0.019655739333913857,0.39778088807915657,0.010390024175986836,0.17541554529741937,0.3089700430849868,0.0001253456646012989,0.0391851108519674,0.06511490372777094,0.03282309641495384,0.038440696265637266,0.0023399293888381515,0.024669950265516234,0.052963984123934896,0.459318257288008,0.13718134230073953,0.42874103090388055,0.21325294714969445,0.0001485649938155538,0.044569552329958816,0.028645981973764795,0.004594806766349837,0.02183850223292449,0.05493609652324808,0.036768866298642025,0.04842112475836073,0.8545392778092987,0.08576948792362137,0.22326487714843932,0.6428163822168823,2.8198748141355728e-05,0.009203875616575815,0.014532400704086392,0.0489073535770581,0.014506248079681072,0.026739258321096096,0.002421021801837744,0.04693169624219514,0.345397411474712,0.22133906328182304,0.7286599923384514,0.243499559626679,4.69665318441972e-05,0.015266062841064534,0.04099362234632178,0.04710329818052546,0.0030301424761662926,0.03328825285257632,0.058605504784371605,0.04879341129613363
0.8046447864645614,0.08286481203761142,0.06735479908314611,0.5038009453214091,9.145281488645816e-05,0.01572430856115486,0.05548559176114327,0.06350271178159184,0.03891169020304321,0.06224469355937136,0.036381532734951885,0.022874133356748254,0.8716201318744968,0.013380947695952097,0.5441000526380686,0.1898314208331751,0.00023669776216021904,0.040859195366207385,0.0028425617477983887,0.025969069128512504,0.02870257147743791,0.0032209886137373085,0.039614082588702984,0.015004781522882638,0.37408243058348084,0.5386182455285606,0.5232730215544901,0.2401125159166709,0.0002577080973856774,0.061911969875013795,0.018293814282426754,0.02538032318392234,0.044939769104924567,0.012595017821843774,0.04680116729707396,0.065696762474826,0.9069713101601112,0.04044057211879203,0.38958131830398246,0.6024365295725286,4.311866588290938e-05,0.048833726579377235,0.012404579296933099,0.041187476911492694,0.0236985778267736,0.019435656547294667,0.004256964159526757,0.027946300355399998,0.11675136584481745,0.48087105633088184,0.9097825187741775,0.05476553818492287,0.00010080188862302228,0.005414128747483679,0.0036857223921156535,0.025464649542121996,0.05723309506506745,0.02001911315832811,0.03156686177107313,0.03919148996696007,0.6487388023106578,0.22182284017729165,0.0014294133914477096,0.8577155766780545,2.169385797329964e-05,0.03798611226781108,0.040923354449959023,0.057654677154706596,0.025887196530870182,0.008779730518409473,0.04366357699893034,0.06630428387385635,0.18392785263751021,0.012780281600227185,0.1109266966508888,0.48635857295083945,0.0002827556723778276,0.024155368647332705,0.064585315946285,0.01963303199009571,0.019122515537456364,0.05602444506483388,0.060381164646808906,0.051962445850237765,0.797990902601351,0.12817246090537793,0.3390919121087488,0.1277861004793493,0.0002791693369731945,0.005186930857641618,0.04335421245390041,0.02571561315607416,0.048458991902484885,0.032049907498280766,0.008823440589877038,0.06206624709372452
0.6210905472576635,0.038486117924441926,0.7823891838091772,0.20866351552509346,0.0001982170888217295,0.05027064825003317,0.05679310240875948,0.034072691743292416,0.02663327267474656,0.03754305216277528,0.015003657576874866,0.04734312862294058,0.9039765563944456,0.0638167032317593,0.697145076006597,0.2000571487380996,6.988370559103243e-05,0.050392177328819426,0.02591937801873609,0.05242184569324255,0.018143666016023307,0.04993815921251064,0.057291477448067486,0.018318643321780036,0.38687675948461586,0.19711297712577744,0.6985546210524649,0.13717636835460736,0.00016004562084666484,0.0536715542857848,0.014541823552979526,0.04706691528078708,0.03465547850435041,0.06069417277294625,0.03861339813314802,0.060266297944264684,0.20740558135892878,0.14434954375754638,0.18166998846293989,0.025332121256719145,1.6399808348388626e-05,0.03941450828026439,0.05980626630022362,0.05710548705626846,0.0038098491092716175,0.03196022540316566,0.02003331584605329,0.02329004367188014,0.1767199864102953,0.23353226743878117,0.3090914731708521,0.4028939832156064,9.547763270412697e-05,0.060736855671533745,0.02557997875225832,0.02641074201025399,0.005326883413028268,0.06547728083202974,0.0470552481155517,0.039799219815738494,0.35858198283782167,0.43273108164156404,0.30733480732355617,0.6359037601627787,0.00019070104935870545,0.05220563925590113,0.040046676570525894,0.04183290199017551,0.004857991357359181,0.020217364502597868,0.0428591161905339,0.0063380283192282245,0.8823862477515894,0.03369582001464813,0.09240751040767145,0.6336294866780958,0.00016095025255734457,0.04649926267940154,0.05256598432469356,0.03596443186024776,0.03850083922881664,0.03805384505658378,0.033170034831217804,0.042374191731515944,0.30782809522107435,0.625863084331597,0.10228697801738439,0.8363940927334776,0.00024002199328712533,6.383879294483626e-05,0.03675069069507509,0.02292331261305185,0.02807251024243655,0.06314019270582481,0.0627340039847848,0.014802362751838704
0.8606682531650096,0.06904955059554999,0.7434440977365268,0.15540799098269711,0.00023835539504996062,0.031556320202173915,0.002222869669599094,0.0504044896714826,0.01242553493360561,0.021000629172198023,0.005352771104297526,0.059840398058739155,0.4994072069940052,0.22636372396526871,0.04135205479031544,0.6528374270246782,0.00011491611944778669,0.05105199468116984,0.005964217917726899,0.03501716132217702,0.052124032693488205,0.03418767814110423,0.042416868016890395,0.03981406513646337,0.7289003520116472,0.21761083085128025,0.1833047296354743,0.6437521759955267,0.00020985095471368924,0.03839767363507627,0.06283474271766151,0.010390136217913643,0.02545106353230091,0.0025748903274805915,0.0007939372755243019,0.051899419035707446,0.7368479532228499,0.09323810679425754,0.680613902998516,0.23215777177289512,0.0002621963487277067,0.03818550012218512,0.04642243578083998,0.05856481517055864,0.020926338163966867,0.0042909911202659475,0.05078869597521617,0.04599219535210706,0.3488170198880231,0.454381013856182,0.7869982954968108,0.1624208849549329,1.137726113851226e-05,0.024831032283479274,0.04705886859333033,0.06398551367591064,0.06379556985956654,0.0037172800524738216,0.020625429701190565,0.02302776536902408,0.8016155432682543,0.1139678966072949,0.10768554895436785,0.20433949185746036,0.00021233418349699375,0.01105085464321118,0.06435647606065373,0.009971152999414978,0.054761872898267665,0.0620461751012491,0.055385069611752887,0.039463302243347945,0.49086817938657384,0.027541090996752435,0.5988656909644482,0.21201582877137526,0.0002732929665305352,0.05062573695162754,0.0004362317322104365,0.03464848096536235,0.014657475888760716,0.012950657619917446,0.04800176347390455,0.02380879015980205,0.8327578495680579,0.001977996232959549,0.3904901654435884,0.2652351684594075,0.00021842883954141396,0.04467443272204869,0.053596223337621644,0.040447961719536095,0.03340387518538247,0.02187363408884856,0.020825745823231035,0.04526935328436932
0.9960657604302905,0.003677356521431533,0.26332549114381004,0.5299830530626201,0.0002103322177891228,0.03330006194097793,0.0050597800158251865,0.046128564319432463,0.06553690210954878,0.049334383350515064,0.029725032422167365,0.004295571301065899,0.8078874399016416,0.025842111645896816,0.5869488508373327,0.37053581111658573,0.00022307169024292427,0.04672774607069078,0.06115458104381116,0.02213378098523625,0.001893669981687781,0.02504035301748805,0.04799671854867944,0.052102815774689046,0.46399479217716166,0.053990569412795265,0.9868897000633722,0.005003972491459584,0.0002763621785398395,0.05586783842187621,0.043988843807809576,0.004836653798337632,0.03757830353813277,0.050366018058068,0.009948048611848104,0.02704770179811203,0.5413354764940459,0.2496994323653252,0.8583932323278225,0.023429758923042478,0.00018401808288156,0.05299916482986745,0.01788102495920455,0.03673140004329544,0.02434102433715319,0.03545182542984979,0.018082924103713583,0.0224456300819966,0.675396910587414,0.05663371829070875,0.7943902559366537,0.1133434647947268,0.00027066789522266714,0.06606633780352364,0.030889344070939066,0.01329069643968018,0.032273494500765006,0.05363451903199879,0.02249570293051154,0.036404903163230466,0.8651963480164145,0.1183790237321523,0.6111060949304318,0.17588482596676627,4.636463204372e-05,0.030411343741176197,0.06200046284898398,0.026710180433220654,0.039265766315619455,0.03504750422025009,0.0415984140524947,0.06285125136179875,0.14627497988181234,0.25283490958813304,0.2725196654094498,0.26798542887333365,7.795300225313175e-05,0.018919341005876767,0.03095560927223886,0.033546425283270995,0.021758357648598757,0.05101240911092821,0.010858036305724366,0.017995290571322,0.8029323328664192,0.16516315745279808,0.18304010141570254,0.4219683776441238,0.0002592591389602568,0.030277129290920052,0.003755831712514994,0.027892446756171224,0.014884687758470698,0.03692647437826349,0.014941502206741713,0.045148062438068945
0.14470856699274373,0.13579695704678985,0.6163604435459423,0.24460445381508525,0.0002751414765602573,0.04796574974000856,0.020000093345094866,0.010808985940343192,0.026570776931592544,0.0014102578724171512,0.004429040462439526,0.021617547179665676,0.5847281100228903,0.3602781215108911,0.10871697845483316,0.20929797736549313,0.00023380953583375453,0.03106486981881734,0.03816792136843494,0.014420317134023962,0.0050486577691394715,0.05690084250715065,0.029838465761015995,0.0020577642065508395,0.5847863923975591,0.10218679976000813,0.16826539513122374,0.7666280158605171,2.1998576779109047e-05,0.03543924899724158,0.03839824302044633,0.05357133778575152,0.05557457621726596,0.04494624682495203,0.06024842359433494,0.015548895408971797,0.642126726724752,0.13068411366840682,0.4622553225303493,0.5159957827599945,0.00026976095835292536,0.02273957560174568,0.013701883161639054,0.014270600802377903,0.021292293422677525,0.058716356327544864,0.05719002219313569,0.012737810461842592,0.6432704147492304,0.1808504676167829,0.501485049083608,0.3305846540569222,0.00017431957018492928,0.021806400147708765,0.06111723817059681,0.050515695670112104,0.037624220289284034,0.049696741746424015,0.0018498748301782474,0.02739615158181586,0.2546721040849189,0.4621757631583977,0.7513869649188224,0.06581393431066661,0.00010155333575017344,0.05374500380915425,0.03626245826707661,0.038750652347172655,0.05121452542186885,0.06140020466553223,0.005163350726237528,0.012379594462434054,0.5662616264492099,0.3095255996452101,0.2811699751757281,0.5663022372521765,0.000123577608016346,0.015219236693185121,0.027684630627609418,0.007902327540566552,0.010946296968765588,0.04848968497552271,0.05657079999786296,0.024949463263086932,0.3666634397246021,0.5405076893103815,0.40394397703130297,0.3856647607413117,0.00016842614000604886,0.05320397073461273,0.03362268694636314,0.01492697699949966,0.020331784049103317,0.057694261148994855,0.056543881328739595,0.051172572749940796
0.09156441260221664,0.08770973673971573,0.9347645879864231,0.05746186680308146,8.892612897057976e-05,0.04013359739707824,0.06085997041394707,0.013911759693563034,0.0507249525364206,0.059942676260688776,0.01059753144186567,0.03120678717391216,0.4756183388752867,0.0663371682483562,0.38396265104885874,0.14973131421411096,0.00024522484746594794,0.019010736250505103,0.0170105980348621,0.012000971850321736,0.06236163023787733,0.03203448082401481,0.051211992577568206,0.01607731017898563,0.7813412102885444,0.17084434656325778,0.5585039322338866,0.08211408262865795,0.00024386308537026146,0.013595072578873161,0.013019154437427382,0.06268517449264686,0.06415455981831633,0.04589977947323839,0.05804998690358725,0.0391036579787301,0.3619303764804936,0.5008536251234191,0.5765614017407046,0.19413091812534644,0.00010921952259644896,0.032829161316119806,0.010344311446471051,0.049392163263394726,0.05307158553201157,0.01320927749084823,0.02210594205601138,0.050411555668088116,0.47889543767998327,0.481767894801101,0.21577309181481127,0.14828722086993376,0.00018573443071117328,0.041930665319368565,0.02914681878858374,0.003119896723154573,0.04565377766618753,0.026260252269402283,0.05227244074468078,0.012229937622956917,0.9051852511939608,0.052337418566736585,0.14874668708944125,0.8373950564470176,0.00015567393211537344,0.005585226855392265,0.048116864688934474,0.003123504533693029,0.02975660018557171,0.04012577717463872,0.0062032312724627815,0.044897430726389805,0.44134980396330764,0.2841240088501042,0.5247472877948904,0.40925857258537063,1.7973889268240844e-05,0.06295000513443448,0.0413490720202066,0.009262791718168642,0.006756097129974142,0.04421039420246212,0.0393092112083735,0.05901446802431702,0.04075792766294162,0.43833863001923107,0.26119004806719337,0.5200692394886791,0.00019487163399766486,0.05177425783939086,0.03246845620711758,0.04442020780537655,0.06039475549033917,0.043161046260904196,0.042092466502432424,0.020061105880609966
0.8746458497329238,0.08136743937493965,0.5614817602530859,0.22257223759763395,0.00021993510439160044,0.0026907539969414644,0.04649155869717637,0.0570955988478928,0.06117150528436087,0.031232530747273037,0.0616623250727922,0.012809399364294996,0.9807735930064143,0.016020052757689338,0.60897653071251,0.30688217246417593,0.00021264000588669814,0.020218635407558614,0.023549700659880917,0.008459058763005067,0.06303687974111502,0.007606805252532064,0.057976590300860324,0.0089369719860982,0.7638471014875987,0.07179617214294416,0.4289020838597339,0.04184096603427717,4.145530488123106e-05,0.030345248997037257,0.04583369767452727,0.030390096917541777,0.04663470117940702,0.021322771934402098,0.010516687477690015,0.030139722524022115,0.5308152656563211,0.26914253331156796,0.07704085109240542,0.7436802851562925,6.59371921361245e-05,0.008142535937860568,0.01460960216934193,0.01092404938410014,0.05559875332220798,0.04640520797103392,0.012067558952072097,0.044210308941126285,0.4692499377139607,0.412205184854977,0.10517601849272884,0.35110968123618086,9.008832263781566e-05,0.01587326000071006,0.04036637512613864,0.016718333913646365,0.06119065178993081,0.04876486195562529,0.03292500411531559,0.010357849983831125,0.06816978881056107,0.1339517880746751,0.3923662079245537,0.04151683467405119,0.00012054354879765564,0.04571403586256606,0.014645528754920213,0.027744227930561284,0.0015863745744959486,0.021181067532571804,0.0037299402661647497,0.02562190705017246,0.16442305277290403,0.19013365142961883,0.7832227264196524,0.1094292952854395,0.00022185816820678635,0.04779228656140387,0.032879442867162094,0.01723254484335867,0.026420984763930882,0.03229538129458366,0.03600572273140826,0.041173662798826755,0.2670463982588436,0.15930322682163311,0.35158112444317846,0.4942732533205929,3.77308849056983e-05,0.06493820850553243,0.04838363283477092,0.02166799869244494,0.057229602073826276,0.011888030226249827,0.04081196006274598,0.04264256643635274
