0-20,20-40,40-50,50-60,60-65,65-70,70-75,75-inf,total
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0
0,0,0.00142857142857143,0.0398175702485912,0.0584742620404615,0.122971904191956,0.21983552053177,1.55747217155865,2
0,0,0,0,0,0,0,0,0
0,0,0.000714285714285714,0.0199087851242956,0.0292371310202308,0.0614859520959779,0.109917760265885,0.778736085779325,1
0,0,0.000714285714285714,0.0199087851242956,0.0292371310202308,0.0614859520959779,0.109917760265885,0.778736085779325,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0.005,0.139361495870069,0.204659917141615,0.430401664671846,0.769424321861195,5.45115260045527,7
0,0,0.00571428571428571,0.159270280994365,0.233897048161846,0.491887616767824,0.879342082127081,6.2298886862346,8
0,0,0.00285714285714286,0.0796351404971825,0.116948524080923,0.245943808383912,0.43967104106354,3.1149443431173,4
0,0,0.0135714285714286,0.378266917361617,0.555505489384385,1.16823308982358,2.08843744505182,14.7959856298072,19
0,0,0.0107142857142857,0.298631776864434,0.438556965303462,0.922289281439669,1.64876640398828,11.6810412866899,15
0,0,0.0128571428571429,0.358358132237321,0.526268358364154,1.1067471377276,1.97851968478593,14.0172495440278,18
0,0,0.0214285714285714,0.597263553728868,0.877113930606923,1.84457856287934,3.29753280797655,23.3620825733797,30
0,0,0.0214285714285714,0.597263553728868,0.877113930606923,1.84457856287934,3.29753280797655,23.3620825733797,30
0,0,0.0307142857142857,0.856077760344711,1.25719663386992,2.64389594012705,4.72646369143306,33.485651688511,43
0,0,0.0242857142857143,0.676898694226051,0.994062454687846,2.09052237126325,3.73720384904009,26.477026916497,34
0,0,0,1,1,6,6,49,63
0,0,0,2,1,3,7,67,80
0,0,0,0,1,5,8,64,78
0,0,0,1.5,3.5,6,14,78,103
0,0,0,1.5,3.5,6,14,78,103
0,0,0,3,4,6,16,103,132
0,0,0,3,4,6,7,73,93
0,0,1,6,9,12,22,125,175
0,1,0,2,5,9,9,108,134
0,0,0,3,3,7,20,133,166
0,0,2,2.5,4.5,10.5,18.5,118,156
0,0,2,2.5,4.5,10.5,18.5,118,156
0,1,1,4,6,8,13,82,115
0,0,1,5,3,8,8,75,100
0,1,1,10,4,16,22,180,234
0,0,0,4,2,8,21,111,146
0,2,1,0,5,12,17,111,148
0,1,0,4,2,6,8,94,115
0,0,0,2,2,8,11,109,132
0,1,1,4,5,5,15,63,94
0,0,0,6,3,5,9,63,86
0,1,0,4,5,10,19,84,123
0,0,1,8,6,8,23,143,189
0,1,0,3,4,7,21,145,181
0,0,2,0,3,8,14,117,144
1,0,0,0,5,10,14,112,142
0,0,0,4,3,4,10,62,83
0,0,0,3,1,1,11,51,67
0,0,2,2,3,6,16,136,165
0,0,3,2,4,6,14,109,138
0,2,0,2,3,4,14,98,123
0,0,1,6,2,8,12,83,112
0,0,0,3,1,8,9,99,120
0,0,0,1,3,2,4,56,66
0,0,0,1,0,3,3,36,43
0,0,0,5,0,1,3,39,48
0,0,0,2,5,9,16,113,145
0,1,2,2,3,1,9,66,84
0,0,1,0,7,6,6,78,98
0,0,0,1,1,6,4,82,94
0,0,0,1,1,2,10,55,69
0,0,0,1,1,0,2,22,26
0,0,0,0,2,3,10,71,86
0,0,0,1,0,4,2,29,36
0,0,2,1,0,3,7,71,84
0,0,0,3,1,2,5,60,71
0,1,0,3,1,1,4,54,64
0,0,1,0,1,0,2,14,18
0,0,0,0,0,1,0,15,16
0,0,0,3,1,0,5,46,55
0,0,0,1,2,1,5,42,51
0,0,1,1,1,0,6,19,28
0,0,1,3,1,6,5,37,53
0,0,0,0,0,3,3,21,27
0,0,0,1,0,2,2,5,10
0,0,0,0,0,1,0,13,14
0,0,0,0,2,0,2,17,21
0,0,0,0,0,1,2,30,33
0,0,0,2,2,1,4,18,27
0,0,0,0,1,0,2,10,13
0,0,1,1,0,1,1,19,23
0,0,0,1,1,1,1,7,11
0,0,0,0,0,1,0,7,8
0,0,0,1,0,1,2,22,26
0,0,0,0,0,1,2,12,15
0,0,0,1,1,3,2,25,32
0,0,0,0,0,1,2,25,28
0,0,0,0,2,0,3,15,20
0,1,0,0,0,0,0,4,5
0,0,0,0,0,0,0,6,6
0,0,0,1,0,1,1,2,5
0,0,0,0,1,0,0,9,10
0,0,0,3,0,0,0,10,13
0,0,0,0,0,0,2,13,15
0,0,0,0,0,2,0,4,6
0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,1,2,3
0,0,0,0,0,2,1,12,15
0,0,0,0,0,0,2,9,11
0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,1,8,9
0,0,0,0,1,0,0,3,4
0,0,0,0,0,0,0,2,2
0,0,0,0,1,0,0,5,6
0,0,0,0,0,0,0,5,5
0,0,0,0,0,1,1,2,4
0,0,1,0,0,0,0,3,4
0,0,0,0,0,1,0,2,3
0,0,0,0,0,0,1,7,8
0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,5
0,0,0,0,0,0,0,2,2
0,0,1,0,0,0,0,2,3
0,0,0,0,0,0,0,3,3
0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,2,4,6
0,0,0.142857142857143,0,0,0.428571428571445,0,2.14285714285705,2.71428571428564
0,0,0.142857142857143,0,0,0.428571428571445,0,2.14285714285705,2.71428571428564
0,0,0.142857142857143,0,0,0.428571428571445,0,2.14285714285705,2.71428571428564
0,0,0.142857142857143,0,0,0.428571428571445,0,2.14285714285705,2.71428571428564
0,0,0.142857142857143,0,0,0.428571428571445,0,2.14285714285705,2.71428571428564
0,0,0.142857142857143,0,0,0.428571428571445,0,2.14285714285705,2.71428571428564
0,0,0.142857142857141,0,0,0.428571428571331,0,2.14285714285768,2.71428571428615
0,0,0,0,0.142857142857139,0.142857142857167,0,0.28571428571422,0.571428571428527
0,0,0,0,0.142857142857139,0.142857142857167,0,0.28571428571422,0.571428571428527
0,0,0,0,0.142857142857139,0.142857142857167,0,0.28571428571422,0.571428571428527
0,0,0,0,0.142857142857139,0.142857142857167,0,0.28571428571422,0.571428571428527
0,0,0,0,0.142857142857139,0.142857142857167,0,0.28571428571422,0.571428571428527
0,0,0,0,0.142857142857139,0.142857142857167,0,0.28571428571422,0.571428571428527
0,0,0,0,0.142857142857167,0.142857142856997,0,0.285714285714676,0.571428571428839
0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0.571428571428498,0.571428571428498
0,0,0,0,0,0,0,0.57142857142901,0.57142857142901
0,0,0,0,0,0.142857142857167,0.14285714285711,0.571428571428554,0.857142857142833
0,0,0,0,0,0.142857142857167,0.14285714285711,0.571428571428554,0.857142857142833
0,0,0,0,0,0.142857142857167,0.14285714285711,0.571428571428554,0.857142857142833
0,0,0,0,0,0.142857142857167,0.14285714285711,0.571428571428554,0.857142857142833
0,0,0,0,0,0.142857142857167,0.14285714285711,0.571428571428554,0.857142857142833
0,0,0,0,0,0.142857142857167,0.14285714285711,0.571428571428554,0.857142857142833
0,0,0,0,0,0.142857142856997,0.142857142857338,0.571428571428669,0.857142857143003
0,0,0,0,0,0,0.285714285714334,0.571428571428554,0.85714285714289
0,0,0,0,0,0,0.285714285714334,0.571428571428554,0.85714285714289
0,0,0,0,0,0,0.285714285714334,0.571428571428554,0.85714285714289
0,0,0,0,0,0,0.285714285714334,0.571428571428554,0.85714285714289
0,0,0,0,0,0,0.285714285714334,0.571428571428554,0.85714285714289
0,0,0,0,0,0,0.285714285714334,0.571428571428554,0.85714285714289
0,0,0,0,0,0,0.285714285713993,0.571428571428669,0.857142857142662
0,0,0,0,0,0,0,1.28571428571411,1.28571428571411
0,0,0,0,0,0,0,1.28571428571411,1.28571428571411
0,0,0,0,0,0,0,1.28571428571411,1.28571428571411
0,0,0,0,0,0,0,1.28571428571411,1.28571428571411
0,0,0,0,0,0,0,1.28571428571411,1.28571428571411
0,0,0,0,0,0,0,1.28571428571411,1.28571428571411
0,0,0,0,0,0,0,1.28571428571536,1.28571428571536
0,0,0,0,0,0.285714285714278,0.285714285714334,1.71428571428578,2.28571428571439
0,0,0,0,0,0.285714285714278,0.285714285714334,1.71428571428578,2.28571428571439
0,0,0,0,0,0.285714285714278,0.285714285714334,1.71428571428578,2.28571428571439
0,0,0,0,0,0.285714285714278,0.285714285714334,1.71428571428578,2.28571428571439
0,0,0,0,0,0.285714285714278,0.285714285714334,1.71428571428578,2.28571428571439
0,0,0,0,0,0.285714285714278,0.285714285714334,1.71428571428578,2.28571428571439
0,0,0,0,0,0.285714285714334,0.285714285713993,1.71428571428533,2.28571428571365
0,0,0,0.142857142857139,0,0,0.14285714285711,4,4.28571428571425
0,0,0,0.142857142857139,0,0,0.14285714285711,4,4.28571428571425
0,0,0,0.142857142857139,0,0,0.14285714285711,4,4.28571428571425
0,0,0,0.142857142857139,0,0,0.14285714285711,4,4.28571428571425
0,0,0,0.142857142857139,0,0,0.14285714285711,4,4.28571428571425
0,0,0,0.142857142857139,0,0,0.14285714285711,4,4.28571428571425
0,0,0,0.142857142857167,0,0,0.142857142857338,4,4.28571428571451
0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,2.42857142857133,3.28571428571423
0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,2.42857142857133,3.28571428571423
0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,2.42857142857133,3.28571428571423
0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,2.42857142857133,3.28571428571423
0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,2.42857142857133,3.28571428571423
0,0,0,0.285714285714285,0,0.285714285714278,0.285714285714334,2.42857142857133,3.28571428571423
0,0,0,0.285714285714292,0,0.285714285714334,0.285714285713993,2.42857142857202,3.28571428571463
0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,1.42857142857156,2.14285714285734
0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,1.42857142857156,2.14285714285734
0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,1.42857142857156,2.14285714285734
0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,1.42857142857156,2.14285714285734
0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,1.42857142857156,2.14285714285734
0,0,0,0.142857142857146,0.142857142857139,0.142857142857167,0.285714285714334,1.42857142857156,2.14285714285734
0,0,0,0.142857142857125,0.142857142857167,0.142857142856997,0.285714285713993,1.42857142857065,2.14285714285593
0,0,0,0,0.142857142857139,0.142857142857167,0.14285714285711,1.42857142857122,1.85714285714263
