0-65,65-inf,all
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0.0920245398773006,1.9079754601227,2
0,0,0
0.0460122699386503,0.95398773006135,1
0,0,1
0,0,0
0,0,0
0.322085889570552,6.67791411042945,7
0.368098159509202,7.6319018404908,8
0.184049079754601,3.8159509202454,4
0.874233128834356,18.1257668711656,19
0.690184049079755,14.3098159509202,15
0.828220858895706,17.1717791411043,18
1.38036809815951,28.6196319018405,30
1.38036809815951,28.6196319018405,30
1.97852760736196,41.021472392638,43
1.56441717791411,32.4355828220859,34
2,61,63
3,77,80
1,77,78
5,98,103
5,98,103
7,125,132
7,86,93
16,159,175
8,126,134
6,160,166
9,147,156
9,147,156
12,103,115
9,91,100
16,218,234
6,140,146
8,140,148
7,108,115
4,128,132
11,83,94
9,77,86
10,113,123
15,174,189
8,173,181
5,139,144
6,136,142
7,76,83
4,63,67
7,158,165
9,129,138
7,116,123
9,103,112
4,116,120
4,62,66
1,42,43
5,43,48
7,138,145
8,76,84
8,90,98
2,92,94
2,67,69
2,24,26
2,84,86
1,35,36
3,81,84
4,67,71
5,59,64
2,16,18
0,16,16
4,51,55
3,48,51
3,25,28
5,48,53
0,27,27
1,9,10
0,14,14
2,19,21
0,33,33
4,23,27
1,12,13
2,21,23
2,9,11
0,8,8
1,25,26
0,15,15
2,30,32
0,28,28
2,18,20
1,4,5
0,6,6
1,4,5
1,9,10
3,10,13
0,15,15
0,6,6
0,2,2
0,3,3
0,15,15
0,11,11
0,2,2
0,9,9
1,3,4
0,2,2
1,5,6
0,5,5
0,4,4
1,3,4
0,3,3
0,8,8
0,1,1
0,0,0
0,5,5
0,2,2
1,2,3
0,3,3
0,2,2
0,0,0
0,2,2
0,6,6
0.142857142857143,2.5714285714285,2.71428571428564
0.142857142857143,2.5714285714285,2.71428571428564
0.142857142857143,2.5714285714285,2.71428571428564
0.142857142857143,2.5714285714285,2.71428571428564
0.142857142857143,2.5714285714285,2.71428571428564
0.142857142857143,2.5714285714285,2.71428571428564
0.142857142857141,2.57142857142901,2.71428571428615
