death,hosp_day_end,prev_low,prev_medium,prev_high,Hosp_week_day
0,-1,2746,3610,4478,2.42857142857143
0,-1,3474,4503,5504,2.42857142857143
0,-1,4382,5576,6733,2.42857142857143
0,-1,5475,6938,8353,2.42857142857143
0,-1,7037,8697,10317,2.42857142857143
0,-1,8940,10866,12739,2.42857142857143
0,-1,11182,13451,15595,2.42857142857143
0,-1,13779,16539,19070,13.5714285714286
0,-1,16859,20184,23211,13.5714285714286
0,-1,20199,24206,27794,13.5714285714286
0,-1,24158,28896,33073,13.5714285714286
0,-1,27956,33712,38609,13.5714285714286
1,-1,32882,39629,45487,13.5714285714286
0,-1,38790,46745,53626,13.5714285714286
2,-1,43780,52981,61143,61.8571428571429
0,-1,47550,58059,67461,61.8571428571429
1,-1,51789,63857,74682,61.8571428571429
1,-1,55968,69472,81667,61.8571428571429
0,-1,59835,75346,89096,61.8571428571429
0,-1,64816,82979,98912,61.8571428571429
7,-1,71592,91364,109238,61.8571428571429
8,-1,79568,99770,119650,241.428571428571
4,-1,88215,109572,130733,241.428571428571
19,-1,96838,119161,140418,241.428571428571
15,-1,105554,129732,152134,241.428571428571
18,-1,112789,140522,165365,241.428571428571
30,-1,119433,150613,177943,241.428571428571
30,-1,124559,158602,189320,241.428571428571
43,-1,126833,164237,198897,470
34,-1,127844,167255,204725,470
63,-1,126288,168222,207759,470
80,-1,121665,165953,208363,470
78,-1,116024,162347,206736,470
112,-1,110702,157709,204265,470
93,-1,104438,151000,198460,470
132,-1,98979,143943,191084,346.142857142857
93,-1,93812,136844,182240,346.142857142857
175,-1,89603,129945,173242,346.142857142857
134,-1,84473,122715,163729,346.142857142857
166,-1,79805,116522,155334,346.142857142857
148,-1,76393,111007,147540,346.142857142857
164,-1,72002,105094,140516,346.142857142857
115,-1,67509,99129,132751,217
101,-1,63495,93420,125005,217
234,-1,60535,88544,118798,217
147,-1,56767,83608,112408,217
148,-1,52977,78841,106004,217
115,-1,50405,74668,100375,217
132,-1,47886,70645,95576,217
94,-1,45329,66594,89956,129.142857142857
86,-1,42555,62787,84384,129.142857142857
122,-1,40247,59425,79797,129.142857142857
189,-1,37483,55823,75258,129.142857142857
181,-1,34895,52427,71064,129.142857142857
144,-1,32871,49470,67109,129.142857142857
142,-1,31155,46695,63586,129.142857142857
83,-1,29326,43943,59950,83.1428571428571
67,-1,27532,41368,56231,83.1428571428571
165,-1,26289,39140,53050,83.1428571428571
138,-1,24931,36987,50169,83.1428571428571
123,-1,23460,35104,47516,83.1428571428571
112,-1,22465,33549,45147,83.1428571428571
120,-1,21607,32245,43532,83.1428571428571
66,-1,20721,30783,41696,55.7142857142857
43,-1,19790,29376,39667,55.7142857142857
48,-1,19028,28057,37688,55.7142857142857
145,-1,18290,26947,36156,55.7142857142857
84,-1,17515,25972,34798,55.7142857142857
98,-1,16846,25141,33672,55.7142857142857
94,-1,16546,24496,32958,55.7142857142857
69,-1,16649,24277,32503,41.8571428571429
26,-1,16723,23938,31771,41.8571428571429
86,-1,16623,23626,31038,41.8571428571429
36,-1,16167,23121,30303,41.8571428571429
84,-1,15812,22691,29687,41.8571428571429
71,-1,15479,22348,29353,41.8571428571429
63,-1,14499,21629,28726,41.8571428571429
18,-1,13952,20977,28172,29.2857142857143
16,-1,13248,20189,27366,29.2857142857143
54,-1,12966,19473,26670,29.2857142857143
52,-1,12393,18609,25315,29.2857142857143
28,-1,11872,17951,24320,29.2857142857143
53,-1,11481,17367,23493,29.2857142857143
27,-1,10831,16527,22557,29.2857142857143
10,-1,10262,15742,21593,21.2857142857143
14,-1,9628,14946,20577,21.2857142857143
21,-1,9227,14270,19758,21.2857142857143
33,-1,8571,13467,18720,21.2857142857143
27,-1,7953,12672,17692,21.2857142857143
13,-1,7579,11933,16701,21.2857142857143
23,-1,7173,11269,15858,21.2857142857143
11,-1,6594,10460,14719,19.5714285714286
8,-1,6061,9724,13578,19.5714285714286
26,-1,5670,9179,12897,19.5714285714286
15,-1,5365,8667,12250,19.5714285714286
32,-1,4972,8107,11542,19.5714285714286
28,-1,4612,7554,10727,19.5714285714286
20,-1,4418,7105,10123,19.5714285714286
5,-1,4115,6578,9383,11.7142857142857
6,-1,3668,6044,8643,11.7142857142857
5,-1,3224,5523,7928,11.7142857142857
10,-1,2877,5064,7437,11.7142857142857
