0-65,65-inf,all
1.142857144,1.285714287,2.428571431
1.142857144,1.285714287,2.428571431
1.142857144,1.285714287,2.428571431
1.142857144,1.285714287,2.428571431
1.142857144,1.285714287,2.428571431
1.142857144,1.285714287,2.428571431
1.142857144,1.285714287,2.428571431
3.571428572,10.000000001,13.571428573
3.571428572,10.000000001,13.571428573
3.571428572,10.000000001,13.571428573
3.571428572,10.000000001,13.571428573
3.571428572,10.000000001,13.571428573
3.571428572,10.000000001,13.571428573
3.571428572,10.000000001,13.571428573
131.119718312,301.88028169,433.000000002
18.73138833,43.125754528,61.857142858
18.73138833,43.125754528,61.857142858
18.73138833,43.125754528,61.857142858
18.73138833,43.125754528,61.857142858
18.73138833,43.125754528,61.857142858
18.73138833,43.125754528,61.857142858
74.714285709,166.71428572,241.428571429
74.714285709,166.71428572,241.428571429
74.714285709,166.71428572,241.428571429
74.714285709,166.71428572,241.428571429
74.714285709,166.71428572,241.428571429
74.714285709,166.71428572,241.428571429
74.714285709,166.71428572,241.428571429
174.000000007,296.000000011,470.000000018
174.000000007,296.000000011,470.000000018
174.000000007,296.000000011,470.000000018
174.000000007,296.000000011,470.000000018
174.000000007,296.000000011,470.000000018
174.000000007,296.000000011,470.000000018
174.000000007,296.000000011,470.000000018
144.571428581,201.571428563,346.142857144
144.571428581,201.571428563,346.142857144
144.571428581,201.571428563,346.142857144
144.571428581,201.571428563,346.142857144
144.571428581,201.571428563,346.142857144
144.571428581,201.571428563,346.142857144
144.571428581,201.571428563,346.142857144
97.285714292,119.714285704,216.999999996
97.285714292,119.714285704,216.999999996
97.285714292,119.714285704,216.999999996
97.285714292,119.714285704,216.999999996
97.285714292,119.714285704,216.999999996
97.285714292,119.714285704,216.999999996
97.285714292,119.714285704,216.999999996
58.714285716,70.428571423,129.142857139
58.714285716,70.428571423,129.142857139
58.714285716,70.428571423,129.142857139
58.714285716,70.428571423,129.142857139
58.714285716,70.428571423,129.142857139
58.714285716,70.428571423,129.142857139
58.714285716,70.428571423,129.142857139
38.142857146,45.000000001,83.142857147
38.142857146,45.000000001,83.142857147
38.142857146,45.000000001,83.142857147
38.142857146,45.000000001,83.142857147
38.142857146,45.000000001,83.142857147
38.142857146,45.000000001,83.142857147
38.142857146,45.000000001,83.142857147
24.714285715,31.000000001,55.714285716
24.714285715,31.000000001,55.714285716
24.714285715,31.000000001,55.714285716
24.714285715,31.000000001,55.714285716
24.714285715,31.000000001,55.714285716
24.714285715,31.000000001,55.714285716
24.714285715,31.000000001,55.714285716
19.714285714,22.142857142,41.857142856
19.714285714,22.142857142,41.857142856
19.714285714,22.142857142,41.857142856
19.714285714,22.142857142,41.857142856
19.714285714,22.142857142,41.857142856
19.714285714,22.142857142,41.857142856
19.714285714,22.142857142,41.857142856
12.571428573,16.714285714,29.285714287
12.571428573,16.714285714,29.285714287
12.571428573,16.714285714,29.285714287
12.571428573,16.714285714,29.285714287
12.571428573,16.714285714,29.285714287
12.571428573,16.714285714,29.285714287
12.571428573,16.714285714,29.285714287
8.571428574,12.714285715,21.285714289
8.571428574,12.714285715,21.285714289
8.571428574,12.714285715,21.285714289
8.571428574,12.714285715,21.285714289
8.571428574,12.714285715,21.285714289
8.571428574,12.714285715,21.285714289
8.571428574,12.714285715,21.285714289
8.285714288,11.285714286,19.571428574
8.285714288,11.285714286,19.571428574
8.285714288,11.285714286,19.571428574
8.285714288,11.285714286,19.571428574
8.285714288,11.285714286,19.571428574
8.285714288,11.285714286,19.571428574
8.285714288,11.285714286,19.571428574
4.857142859,6.857142858,11.714285717
4.857142859,6.857142858,11.714285717
4.857142859,6.857142858,11.714285717
4.857142859,6.857142858,11.714285717
4.857142859,6.857142858,11.714285717
4.857142859,6.857142858,11.714285717
4.857142859,6.857142858,11.714285717
3.285714288,4,7.285714288
3.285714288,4,7.285714288
3.285714288,4,7.285714288
3.285714288,4,7.285714288
3.285714288,4,7.285714288
3.285714288,4,7.285714288
3.285714288,4,7.285714288
2.714285715,2.142857144,4.857142859
2.714285715,2.142857144,4.857142859
2.714285715,2.142857144,4.857142859
2.714285715,2.142857144,4.857142859
2.714285715,2.142857144,4.857142859
2.714285715,2.142857144,4.857142859
2.714285715,2.142857144,4.857142859
3.142857144,1.42857143,4.571428574
3.142857144,1.42857143,4.571428574
