NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,accept_mcmc,reject_mcmc,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1,delta_2,gamma_2,eps_2,r_2,x0_infect_2,beta0_2,beta1_2,beta2_2,beta3_2,beta4_2,beta5_2,beta6_2,delta_3,gamma_3,eps_3,r_3,x0_infect_3,beta0_3,beta1_3,beta2_3,beta3_3,beta4_3,beta5_3,beta6_3
0,4,MCMC,Gibbs,,0,0,8289846.711516209878027,1,0,0.000567348000000,0.000565411000000,0.955136577646369,0.027845403420935,0.428014000063781,0.040319900029297,0.000154152391014,0.007685490147850,0.022104765854998,0.027901292364973,0.023663046980726,0.033864199254744,0.004570445630144,0.022742726932545,0.628166582507175,0.246974257389053,0.451425356741278,0.048721604607411,0.000080794848594,0.027847706169223,0.034390577292105,0.041859067381386,0.009561236942908,0.039532397887830,0.043672352879304,0.051021307756749,0.865927121551406,0.053671221302776,0.870370723435320,0.040144018559308,0.000242309801009,0.057269645475913,0.018710563848113,0.045185036145351,0.048701822399990,0.036794541494670,0.041180245666079,0.020145205207410,0.915065650967876,0.072884124070842,0.496968712835871,0.205812927850832,0.000187781733585,0.012285471638579,0.016376606909552,0.035203741766454,0.035703404822521,0.061511357654684,0.033026140233120,0.001660206638420
0,4,MCMC,Gibbs,,12156,7843,8255976.927455805242062,20000,0,7.303077490000001,7.299807501000000,0.954714051233851,0.027431458977580,0.428041266445771,0.040406389343941,0.000154145369100,0.008093054901777,0.022600543019196,0.028228606963055,0.024014120002450,0.034181435864348,0.005092647008715,0.023001689370864,0.627706810933474,0.246530484607877,0.451400710994637,0.048694842063369,0.000080769178108,0.028234267190843,0.034911038427324,0.042230409002155,0.010112693398081,0.040077687555607,0.043980871342318,0.051318064205338,0.865322842734153,0.053145265895086,0.870377649419193,0.040161170254182,0.000242291204556,0.057900487302952,0.019265044619413,0.045773008731707,0.049282156593005,0.037374458472106,0.041697099170517,0.020754599078547,0.915053048985309,0.072874822633838,0.496298428413039,0.205317147078794,0.000187813542841,0.012326477829480,0.016399833208921,0.035222252717590,0.035727261038947,0.061527318095679,0.033035101591085,0.001680417425022
0,4,MCMC,Gibbs,,24024,15975,8215421.204453392885625,40000,0,14.583419402000001,14.577118082000000,0.954035455881723,0.026877218676891,0.428026528405327,0.040354067302475,0.000154116197291,0.008622635565557,0.023259909202011,0.028531493037001,0.024463122555808,0.034732363930067,0.005705897529374,0.023302749397196,0.627034509516898,0.245822742314858,0.451332524462039,0.048607397727082,0.000080793423857,0.028912782769681,0.035673513978878,0.042736344257856,0.010733886359539,0.040736559588756,0.044600378854666,0.051472367105393,0.864630321699069,0.052361151103541,0.870371468000494,0.040190542900413,0.000242272134456,0.058633257029448,0.020009835478317,0.046459257821602,0.049926921521262,0.038165895095351,0.042484708164276,0.021416005667248,0.915053007037680,0.072874822369300,0.495669539344465,0.204558037262633,0.000187797149627,0.012330091002837,0.016400383117513,0.035227165630592,0.035727131422005,0.061529650154126,0.033033184424193,0.001674938612667
0,4,MCMC,Gibbs,,35684,24315,8168374.518781442195177,60000,0,21.824948033000002,21.811902143000001,0.953193650927717,0.026136366057877,0.428007706614634,0.040159095761534,0.000154101962447,0.009467500178763,0.024070532777998,0.028993895401999,0.025065803376296,0.035378490793523,0.006528790322266,0.023536904528176,0.626074080657784,0.245022005868085,0.451263702837905,0.048595882283818,0.000080799126816,0.029735210178817,0.036572532720724,0.043343992366703,0.011471755866546,0.041658350726739,0.045312706189671,0.052072351336709,0.863890142000610,0.051637639668145,0.870333803269256,0.040080553260435,0.000242330780643,0.059471695748408,0.020963061730136,0.047437152773473,0.050831581742410,0.039105014958699,0.043377588985394,0.022231953867021,0.915053007037680,0.072874751160827,0.494857478915723,0.203692265203662,0.000187791063440,0.012333817608513,0.016400566753088,0.035232879546542,0.035732235580945,0.061535659026420,0.033033433419274,0.001664578985841
0,4,MCMC,Gibbs,,47258,32741,8112953.589134907349944,80000,0,29.081992152000002,29.060198507999999,0.952255831216673,0.025193279674544,0.427797251898438,0.039936174828197,0.000154043131414,0.010382284036164,0.025018923987284,0.029675721607107,0.025835732188733,0.036327307961685,0.007509961718715,0.024148405390886,0.625000321148942,0.244063968095560,0.451156109109637,0.048480373981116,0.000080737720871,0.030687464761306,0.037595168379385,0.044299610144588,0.012548850173968,0.042564161135185,0.046331138176014,0.052852330482933,0.862879803303499,0.050747136787028,0.870286064800371,0.040049911941160,0.000242300640360,0.060511872812508,0.022030921342792,0.048428685551499,0.052134321537358,0.040113227757959,0.044462106487783,0.023390772606022,0.915053025057246,0.072874748365588,0.493672377871085,0.202820950493733,0.000187826117657,0.012335860890667,0.016400455313271,0.035230086815402,0.035736981243315,0.061535592812368,0.033035821479187,0.001660046972387
0,4,MCMC,Gibbs,,58544,41455,8048637.660285758785903,100000,0,36.422423006000002,36.393641647999999,0.950814212617087,0.023867526819212,0.427681282259223,0.039866801213447,0.000154023885144,0.011609419999885,0.026378731372176,0.030416145407642,0.026893335315971,0.037350044415836,0.008606812181977,0.024930393793616,0.623652865422764,0.242861618864903,0.450856553326193,0.048467827467476,0.000080697466977,0.031941194741302,0.038832715236777,0.045099905010900,0.013603651412676,0.043681001139750,0.047473505245241,0.053702690035742,0.861701133829889,0.049347805344094,0.870331664657031,0.040081885117861,0.000242312718102,0.061663534060682,0.023285419107872,0.049576671228456,0.053432621736852,0.041227840576312,0.045660304636659,0.024581003348992,0.915052683594434,0.072874748365588,0.492321372291359,0.201674185146373,0.000187909059036,0.012338429700739,0.016401269070175,0.035234508902651,0.035737512211460,0.061535641084083,0.033034629944775,0.001654898532211
0,4,MCMC,Gibbs,,69866,50133,7975826.766092685982585,120000,0,43.714348234000006,43.684912019000002,0.949395575875800,0.022486367927439,0.427647977654294,0.039608560445760,0.000153982340400,0.012895691697242,0.027801262431120,0.031535143754895,0.027862216804526,0.038463076608484,0.009985060299209,0.025794311445342,0.622314691611595,0.241380006383872,0.450519126789975,0.048286315278209,0.000080675732937,0.033530127200868,0.040191016818489,0.046263220856402,0.015090921938670,0.044929452691616,0.048913997914582,0.054805331560294,0.860237605589565,0.047932746949935,0.870205365825571,0.040089540523682,0.000242384024000,0.063052545039842,0.024832086548738,0.051068223341339,0.054935012010746,0.042569524093318,0.047137239711849,0.025953590916068,0.915052683594434,0.072874748365588,0.491034227265658,0.200095236562153,0.000188027123647,0.012338559640396,0.016401639041477,0.035240847489295,0.035737649226208,0.061536507092926,0.033033839511232,0.001651880477251
0,4,MCMC,Gibbs,,80975,59024,7892519.492911239154637,140000,0,51.067371765000004,51.037257410000002,0.947815769980439,0.020754095496336,0.427783918046786,0.039447727076452,0.000153797076727,0.014466164283983,0.029254733309023,0.032685778114595,0.029201912860758,0.040156568472526,0.011764338337473,0.026712872033628,0.620564798507246,0.239854330722271,0.450236507932711,0.048050959544499,0.000080621529019,0.035119863540990,0.041971512875134,0.047632488619975,0.016812921473410,0.046547088583174,0.050226788393482,0.056016015877352,0.858516891556725,0.046446201350518,0.870458815198218,0.040145361618690,0.000242409784231,0.064720655244922,0.026565311743228,0.052480715701921,0.056721626290802,0.044451043491516,0.048716737447485,0.027655959480465,0.915052683594434,0.072874748365588,0.489136657611465,0.198085385084023,0.000188116065346,0.012338749981665,0.016401877106107,0.035243502320126,0.035737323009001,0.061537087620704,0.033033844441399,0.001650067244505
0,4,MCMC,Gibbs,,92007,67992,7804334.593140635639429,160000,0,58.425663457000006,58.394815776000002,0.945794962796812,0.018985812378700,0.427435805613315,0.039290926961609,0.000153796789366,0.016049431395585,0.030979598229514,0.034206989112502,0.031271539139148,0.041951063512638,0.013555478454864,0.027997638151025,0.618556165603323,0.237997288072230,0.450336199456820,0.047291634878358,0.000080646585803,0.037170229836577,0.043978197405501,0.048929735156701,0.018426087698321,0.048565135327554,0.052174380102185,0.057298001358599,0.856538971316391,0.044537942049891,0.870186783179903,0.040351611979102,0.000242452316782,0.066407243270237,0.028372594051606,0.054424352728876,0.058771200490629,0.046416050347007,0.050571989105889,0.029462871091116,0.915052544618618,0.072874620617426,0.487116646290452,0.196350250495250,0.000188322813825,0.012341323159084,0.016401900250913,0.035245061574431,0.035735830313805,0.061536707159755,0.033034498181477,0.001646523200886
0,4,MCMC,Gibbs,,102951,77048,7705456.203748843632638,180000,0,65.737351071000006,65.705829125999998,0.943652238394866,0.016931559141422,0.427738569568734,0.039306687324319,0.000153843836973,0.017950491898470,0.033209524383840,0.035642965198447,0.033247925054483,0.043836298446152,0.015660507404025,0.029291790318180,0.616496468713254,0.235648430123210,0.449701218020243,0.046996899996475,0.000080623255468,0.039266228941558,0.046189615209202,0.051341427787958,0.020486006573062,0.050998902665569,0.054129549959011,0.058718333536000,0.854198223803056,0.042015655533398,0.870447111365086,0.040806015439195,0.000242568283357,0.068718643146623,0.030475457546506,0.056670267975587,0.060884019048812,0.048610932227857,0.052460575040245,0.031600098690149,0.915052481252154,0.072874620617426,0.485056395968902,0.194031416828460,0.000188489448239,0.012343362761480,0.016402011151483,0.035247301863772,0.035735835796559,0.061537980387356,0.033034156917793,0.001643658449410
