S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3,S_4,I_4,R_4,Q_4,D_4,Q_entry_4,D_entry_4,S_5,I_5,R_5,Q_5,D_5,Q_entry_5,D_entry_5,S_6,I_6,R_6,Q_6,D_6,Q_entry_6,D_entry_6,S_7,I_7,R_7,Q_7,D_7,Q_entry_7,D_entry_7
0.230926,1.62173e-05,0,0,0,0,0,0.264531,0.000174205,0,0,0,0,0,0.15174,0.000222992,0,0,0,0,0,0.131005,0.000240803,0,0,0,0,0,0.0481555,7.68191e-05,0,0,0,0,0,0.0468596,0.000236755,0,0,0,0,0,0.0445523,4.70732e-05,0,0,0,0,0,0.0811588,5.60929e-05,0,0,0,0,0
0.230914,1.82895e-05,9.33409e-06,3.18089e-09,0,3.18089e-09,0,0.264421,0.000203696,8.05675e-05,7.90939e-08,0,7.90939e-08,0,0.151728,0.000146467,5.01564e-06,8.40539e-05,0,8.40539e-05,0,0.130979,0.000222506,1.43437e-05,3.0301e-05,0,3.0301e-05,0,0.0481525,7.68569e-05,2.38601e-06,5.82533e-07,0,5.82533e-07,0,0.0468525,0.000238561,4.85333e-06,4.39381e-07,0,4.39381e-07,0,0.0445511,4.75087e-05,1.98088e-07,5.64843e-07,0,5.64843e-07,0,0.081155,5.7185e-05,5.55413e-07,2.10656e-06,0,2.10656e-06,0
0.230901,2.06259e-05,1.9861e-05,6.30832e-09,3.35377e-10,3.58733e-09,3.35377e-10,0.264292,0.000238124,0.000174791,1.52792e-07,9.61511e-10,9.24832e-08,9.61511e-10,0.15172,9.62028e-05,1.81661e-05,0.000105158,2.42489e-05,5.52088e-05,2.42489e-05,0.130955,0.000205595,5.37427e-05,3.16747e-05,4.79639e-07,2.79986e-05,4.79639e-07,0.0481495,7.68945e-05,4.82588e-06,1.07003e-06,4.26403e-08,5.8282e-07,4.26403e-08,0.0468454,0.000240379,1.01268e-05,4.50745e-07,4.8293e-08,4.42733e-07,4.8293e-08,0.0445498,4.79482e-05,4.39525e-07,6.37469e-07,4.55926e-07,5.70068e-07,4.55926e-07,0.0811512,5.82983e-05,1.17518e-06,2.97287e-06,1.22771e-06,2.14757e-06,1.22771e-06
0.230887,2.32599e-05,3.17327e-05,9.44182e-09,1.00049e-09,4.04558e-09,6.65118e-10,0.264142,0.000278299,0.000284955,2.24618e-07,2.81894e-09,1.08115e-07,1.85743e-09,0.151714,6.31877e-05,3.26606e-05,9.87521e-05,5.4586e-05,3.62623e-05,3.03372e-05,0.130932,0.000189965,9.33198e-05,2.97134e-05,9.81025e-07,2.58706e-05,5.01385e-07,0.0481465,7.69319e-05,7.311e-06,1.47803e-06,1.20964e-07,5.83105e-07,7.83238e-08,0.0468382,0.000242211,1.54474e-05,4.54328e-07,9.78351e-08,4.46108e-07,4.95421e-08,0.0445486,4.83917e-05,6.88149e-07,6.51408e-07,9.70474e-07,5.75342e-07,5.14548e-07,0.0811473,5.94329e-05,1.82799e-06,3.35408e-06,2.96032e-06,2.18938e-06,1.73261e-06
0.230871,2.62292e-05,4.51206e-05,1.26389e-08,1.99599e-09,4.56222e-09,9.95498e-10,0.263966,0.000325151,0.000413714,2.97626e-07,5.54953e-09,1.26355e-07,2.73059e-09,0.151711,4.15027e-05,4.56615e-05,8.25011e-05,8.30752e-05,2.38177e-05,2.84892e-05,0.130911,0.000175519,0.000130273,2.75086e-05,1.45136e-06,2.39038e-05,4.70338e-07,0.0481435,7.69691e-05,9.83419e-06,1.81955e-06,2.29153e-07,5.83388e-07,1.08189e-07,0.0468309,0.000244055,2.08086e-05,4.57791e-07,1.47771e-07,4.49506e-07,4.99358e-08,0.0445474,4.88393e-05,9.39664e-07,6.58393e-07,1.49627e-06,5.80663e-07,5.258e-07,0.0811433,6.05895e-05,2.50173e-06,3.54605e-06,4.9151e-06,2.23199e-06,1.95478e-06
0.230852,2.95762e-05,6.02176e-05,1.59561e-08,3.32858e-09,5.14462e-09,1.33258e-09,0.263761,0.000379754,0.000564159,3.74567e-07,9.16764e-09,1.47627e-07,3.61811e-09,0.151708,2.72596e-05,5.6269e-05,6.46701e-05,0.000106876,1.56439e-05,2.38009e-05,0.130892,0.000162169,0.000164464,2.54234e-05,1.8868e-06,2.2086e-05,4.35439e-07,0.0481405,7.70062e-05,1.23894e-05,2.10547e-06,3.62341e-07,5.83671e-07,1.33188e-07,0.0468236,0.000245912,2.62107e-05,4.61277e-07,1.98087e-07,4.52929e-07,5.03165e-08,0.0445462,4.9291e-05,1.19358e-06,6.64598e-07,2.02771e-06,5.86034e-07,5.31438e-07,0.0811393,6.17684e-05,3.19179e-06,3.66469e-06,6.98175e-06,2.27543e-06,2.06666e-06
0.230831,3.33488e-05,7.72412e-05,1.94502e-08,5.01091e-09,5.80112e-09,1.68234e-09,0.263522,0.000443341,0.000739874,4.58025e-07,1.37211e-08,1.72419e-07,4.55345e-09,0.151707,1.79045e-05,6.44652e-05,4.87052e-05,0.000125533,1.02751e-05,1.86568e-05,0.130874,0.000149831,0.00019606,2.34905e-05,2.28923e-06,2.04061e-05,4.02432e-07,0.0481375,7.70431e-05,1.49717e-05,2.34488e-06,5.16457e-07,5.83952e-07,1.54116e-07,0.0468162,0.000247782,3.16539e-05,4.64787e-07,2.48787e-07,4.56375e-07,5.06996e-08,0.0445449,4.97468e-05,1.44984e-06,6.70758e-07,2.56416e-06,5.91454e-07,5.36446e-07,0.0811351,6.29701e-05,3.89655e-06,3.75545e-06,9.11755e-06,2.3197e-06,2.1358e-06
0.230808,3.76004e-05,9.64362e-05,2.31791e-08,7.06165e-09,6.54106e-09,2.05074e-09,0.263243,0.000517322,0.000945016,5.50532e-07,1.92891e-08,2.01289e-07,5.56801e-09,0.151706,1.17599e-05,7.05791e-05,3.56919e-05,0.000139584,6.74885e-06,1.40511e-05,0.130858,0.00013843,0.000225254,2.17036e-05,2.66107e-06,1.88537e-05,3.71836e-07,0.0481345,7.70798e-05,1.75767e-05,2.54539e-06,6.88097e-07,5.84232e-07,1.7164e-07,0.0468088,0.000249665,3.71385e-05,4.68321e-07,2.99872e-07,4.59845e-07,5.10854e-08,0.0445436,5.02068e-05,1.70848e-06,6.76963e-07,3.10558e-06,5.96924e-07,5.41418e-07,0.0811309,6.41949e-05,4.61551e-06,3.83613e-06,1.13062e-05,2.36483e-06,2.18869e-06
0.230781,4.23913e-05,0.000118078,2.72028e-08,9.50554e-09,7.37498e-09,2.44389e-09,0.262917,0.000603303,0.00118439,6.54658e-07,2.59817e-08,2.34878e-07,6.69258e-09,0.151705,7.72407e-06,7.50288e-05,2.56426e-05,0.000149881,4.43274e-06,1.02968e-05,0.130843,0.000127895,0.000252227,2.00522e-05,3.00462e-06,1.74191e-05,3.4355e-07,0.0481314,7.71164e-05,2.0201e-05,2.71337e-06,8.74415e-07,5.8451e-07,1.86318e-07,0.0468013,0.000251561,4.26648e-05,4.71881e-07,3.51346e-07,4.6334e-07,5.14738e-08,0.0445424,5.0671e-05,1.96951e-06,6.83223e-07,3.652e-06,6.02443e-07,5.46427e-07,0.0811266,6.54432e-05,5.34864e-06,3.91373e-06,1.3542e-05,2.41082e-06,2.23572e-06
0.230752,4.77893e-05,0.000142478,3.15844e-08,1.23737e-08,8.31468e-09,2.86812e-09,0.262538,0.000703104,0.00146356,7.73091e-07,3.39401e-08,2.73915e-07,7.9584e-09,0.151705,5.07327e-06,7.82094e-05,1.81496e-05,0.000157279,2.91148e-06,7.39769e-06,0.130829,0.00011816,0.000277147,1.85261e-05,3.32203e-06,1.60934e-05,3.17409e-07,0.0481284,7.71528e-05,2.28417e-05,2.85414e-06,1.07303e-06,5.84788e-07,1.98613e-07,0.0467938,0.00025347,4.82331e-05,4.75464e-07,4.03211e-07,4.66859e-07,5.1865e-08,0.0445411,5.11395e-05,2.23296e-06,6.8954e-07,4.20348e-06,6.08014e-07,5.5148e-07,0.0811223,6.67157e-05,6.09611e-06,3.99102e-06,1.58229e-05,2.45771e-06,2.28094e-06
