S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216733,0.000141262,0,0,0,0,0,0.251697,3.01501e-06,0,0,0,0,0,0.336536,8.11848e-07,0,0,0,0,0,0.194887,2.19052e-06,0,0,0,0,0
0.216655,0.000154469,6.45761e-05,1.46371e-08,0,1.46371e-08,0,0.251694,3.96726e-06,1.88425e-06,2.2665e-09,0,2.2665e-09,0,0.336535,1.1587e-06,4.87066e-07,4.13077e-09,0,4.13077e-09,0,0.194886,3.07679e-06,6.76111e-07,1.43085e-08,0,1.43085e-08,0
0.21657,0.00016888,0.000135197,2.28817e-08,1.11326e-10,1.60055e-08,1.11326e-10,0.25169,5.22021e-06,4.36431e-06,4.53064e-09,8.01376e-12,2.98234e-09,8.01376e-12,0.336534,1.65373e-06,1.18248e-06,9.75106e-09,1.47572e-11,5.89557e-09,1.47572e-11,0.194883,4.3216e-06,1.62611e-06,3.35447e-08,5.15441e-10,2.00976e-08,5.15441e-10
0.216477,0.000184599,0.00021241,2.82481e-08,2.85358e-10,1.74987e-08,1.74032e-10,0.251685,6.8688e-06,7.62813e-06,7.01921e-09,2.40329e-11,3.92424e-09,1.60191e-11,0.336532,2.36025e-06,2.17525e-06,1.75156e-08,4.95931e-11,8.41434e-09,3.48358e-11,0.19488,6.07001e-06,2.9608e-06,5.9754e-08,1.72383e-09,2.82288e-08,1.20839e-09
0.216376,0.000201737,0.000296812,3.23978e-08,5.00206e-10,1.91274e-08,2.14848e-10,0.251679,9.03791e-06,1.1923e-05,9.95852e-09,4.8851e-11,5.16355e-09,2.48181e-11,0.33653,3.3686e-06,3.59238e-06,2.83575e-08,1.12168e-10,1.20092e-08,6.25747e-11,0.194876,8.52572e-06,4.83577e-06,9.58061e-08,3.87637e-09,3.96494e-08,2.15254e-09
0.216265,0.000220414,0.00038905,3.61231e-08,7.46615e-10,2.09032e-08,2.4641e-10,0.25167,1.18918e-05,1.75744e-05,1.3597e-08,8.40616e-11,6.79416e-09,3.52107e-11,0.336526,4.80771e-06,5.61515e-06,4.36076e-08,2.13476e-10,1.71398e-08,1.01308e-10,0.19487,1.19748e-05,7.46956e-06,1.45728e-07,7.32762e-09,5.56901e-08,3.45125e-09
0.216144,0.000240759,0.000489828,3.98085e-08,1.02136e-09,2.28385e-08,2.74743e-10,0.251659,1.56465e-05,2.50105e-05,1.82279e-08,1.32137e-10,8.93953e-09,4.80755e-11,0.336521,6.86159e-06,8.50228e-06,6.51637e-08,3.69264e-10,2.44622e-08,1.55789e-10,0.194861,1.68189e-05,1.11691e-05,2.15175e-07,1.25772e-08,7.82194e-08,5.24962e-09
0.216011,0.000262907,0.000599909,4.36478e-08,1.32413e-09,2.49465e-08,3.02773e-10,0.251644,2.05859e-05,3.47946e-05,2.42139e-08,1.96586e-10,1.17621e-08,6.44492e-11,0.336514,9.79279e-06,1.2623e-05,9.57337e-08,6.02063e-10,3.49125e-08,2.32798e-10,0.194849,2.3622e-05,1.63655e-05,3.12081e-07,2.03285e-08,1.09861e-07,7.7513e-09
0.215867,0.000287005,0.000720116,4.77464e-08,1.65611e-09,2.72415e-08,3.31974e-10,0.251625,2.70837e-05,4.76674e-05,3.20163e-08,2.822e-10,1.54753e-08,8.56141e-11,0.336504,1.3976e-05,1.85042e-05,1.39181e-07,9.44073e-10,4.98267e-08,3.4201e-10,0.194832,3.31758e-05,2.3664e-05,4.47592e-07,3.15707e-08,1.54299e-07,1.12422e-08
0.21571,0.000313205,0.000851341,5.21687e-08,2.01925e-09,2.97383e-08,3.63147e-10,0.251599,3.56303e-05,6.46035e-05,4.22308e-08,3.95402e-10,2.03599e-08,1.13201e-10,0.33649,1.99456e-05,2.68978e-05,2.01017e-07,1.4413e-09,7.11111e-08,4.97225e-10,0.194808,4.65916e-05,3.39146e-05,6.37351e-07,4.76945e-08,2.16705e-07,1.61237e-08
0.215538,0.000341673,0.000994546,5.6961e-08,2.41603e-09,3.24532e-08,3.96782e-10,0.251566,4.68707e-05,8.68841e-05,5.56335e-08,5.44719e-10,2.67847e-08,1.49317e-10,0.336469,2.84642e-05,3.88768e-05,2.89106e-07,2.15943e-09,1.01485e-07,7.18136e-10,0.194775,6.54284e-05,4.83107e-05,9.03318e-07,7.0654e-08,3.04337e-07,2.29595e-08
0.215351,0.000372579,0.00115077,6.21621e-08,2.84926e-09,3.54029e-08,4.33231e-10,0.251522,6.16511e-05,0.000116194,7.32389e-08,7.41424e-10,3.52345e-08,1.96705e-10,0.33644,4.06192e-05,5.59721e-05,4.14669e-07,3.19227e-09,1.44829e-07,1.03284e-09,0.194728,9.18729e-05,6.85271e-05,1.27632e-06,1.03194e-07,4.2738e-07,3.25405e-08
0.215147,0.000406103,0.00132112,6.78078e-08,3.32205e-09,3.86052e-08,4.72789e-10,0.251464,8.10824e-05,0.000154746,9.63766e-08,1.00038e-09,4.63456e-08,2.58954e-10,0.336398,5.79612e-05,8.03677e-05,5.9371e-07,4.67368e-09,2.06675e-07,1.48141e-09,0.194662,0.000128989,9.69148e-05,1.79959e-06,1.49172e-07,6.00115e-07,4.59771e-08
0.214925,0.000442433,0.0015068,7.39336e-08,3.83778e-09,4.20789e-08,5.15728e-10,0.251387,0.00010662,0.000205449,1.2679e-07,1.34114e-09,6.09528e-08,3.40762e-10,0.336338,8.26996e-05,0.000115179,8.49058e-07,6.79472e-09,2.94913e-07,2.12104e-09,0.194569,0.00018107,0.000136771,2.53381e-06,2.13999e-07,8.42561e-07,6.48273e-08
0.214683,0.000481764,0.00170909,8.05759e-08,4.4001e-09,4.58433e-08,5.6232e-10,0.251287,0.000140171,0.000272121,1.66763e-07,1.78943e-09,8.01507e-08,4.48295e-10,0.336253,0.000117982,0.000164848,1.21326e-06,9.828e-09,4.20784e-07,3.03327e-09,0.194439,0.000254115,0.00019272,3.56402e-06,3.05275e-07,1.18275e-06,9.12763e-08
0.21442,0.000524296,0.00192936,8.77716e-08,5.01294e-09,4.99186e-08,6.1284e-10,0.251155,0.000184228,0.000359774,2.19292e-07,2.37907e-09,1.05372e-07,5.89631e-10,0.336131,0.000168285,0.000235707,1.73271e-06,1.41624e-08,6.00302e-07,4.3344e-09,0.194256,0.000356507,0.000271239,5.00934e-06,4.33663e-07,1.65989e-06,1.28388e-07
0.214135,0.000570232,0.00216908,9.55589e-08,5.68051e-09,5.43255e-08,6.67568e-10,0.250982,0.00024204,0.000474977,2.88294e-07,3.15442e-09,1.38491e-07,7.75358e-10,0.335958,0.000239973,0.000336779,2.47349e-06,2.03525e-08,8.5625e-07,6.19014e-09,0.194001,0.000499914,0.000381397,7.03647e-06,6.14116e-07,2.32871e-06,1.80453e-07
